time,open,high,low,close,volume
2026-05-14 00:30:00,4688.49,4690.78,4682.39,4683.93,4916
2026-05-14 00:35:00,4683.94,4684.08,4672.93,4674.22,4942
2026-05-14 00:40:00,4674.28,4683.54,4673.42,4678.54,5212
2026-05-14 00:45:00,4678.51,4678.98,4669.46,4672.78,5013
2026-05-14 00:50:00,4672.9,4682.76,4670.16,4682.76,4845
2026-05-14 00:55:00,4682.82,4683.21,4677.51,4679.39,4333
2026-05-14 01:00:00,4679.25,4680.38,4672.89,4676.71,4698
2026-05-14 01:05:00,4676.65,4680.92,4674.02,4677.8,4603
2026-05-14 01:10:00,4677.06,4683.17,4677.01,4681.19,4059
2026-05-14 01:15:00,4681.18,4682.25,4673.58,4674.02,3997
2026-05-14 01:20:00,4674.1,4682.15,4673.5,4681.78,3666
2026-05-14 01:25:00,4681.85,4685.38,4681.15,4684.09,3200
2026-05-14 01:30:00,4684.02,4690.37,4682.98,4689.92,3482
2026-05-14 01:35:00,4689.87,4690.85,4684.91,4686.38,3521
2026-05-14 01:40:00,4686.36,4688.54,4683.45,4683.64,3125
2026-05-14 01:45:00,4683.65,4684.85,4677.18,4681.59,3929
2026-05-14 01:50:00,4681.62,4682.4,4678.22,4681.13,3576
2026-05-14 01:55:00,4681.15,4683.38,4678.78,4679.76,3258
2026-05-14 02:00:00,4680.14,4686.03,4678.87,4684.28,3292
2026-05-14 02:05:00,4684.31,4688.56,4681.91,4688.41,2784
2026-05-14 02:10:00,4688.43,4690.44,4686.06,4687.52,2926
2026-05-14 02:15:00,4687.51,4687.92,4685.34,4687.14,2551
2026-05-14 02:20:00,4687.16,4690.01,4685.18,4687.95,2581
2026-05-14 02:25:00,4687.9,4691.71,4687.41,4691.1,2914
2026-05-14 02:30:00,4691.09,4695.64,4686.74,4695.18,2689
2026-05-14 02:35:00,4695.2,4699.12,4694.4,4698.69,2658
2026-05-14 02:40:00,4698.7,4699.92,4697.02,4699.31,2188
2026-05-14 02:45:00,4699.34,4699.53,4696.45,4698.31,2031
2026-05-14 02:50:00,4698.32,4698.46,4694.53,4695.67,1780
2026-05-14 02:55:00,4695.7,4698.16,4694.36,4695.43,1839
2026-05-14 03:00:00,4695.5,4699.46,4694.97,4697.72,2080
2026-05-14 03:05:00,4697.73,4701.92,4696.42,4700.85,1833
2026-05-14 03:10:00,4700.83,4702.73,4699.1,4701.9,1725
2026-05-14 03:15:00,4701.93,4703.64,4698.63,4699.46,2102
2026-05-14 03:20:00,4699.45,4709.46,4698.59,4705.8,2319
2026-05-14 03:25:00,4705.78,4709.88,4703.57,4706.75,2310
2026-05-14 03:30:00,4706.79,4707.54,4702.25,4703.93,2671
2026-05-14 03:35:00,4703.92,4704.22,4701.58,4702.74,1498
2026-05-14 03:40:00,4702.72,4702.94,4699.82,4699.94,2151
2026-05-14 03:45:00,4699.93,4701.27,4698.4,4699.67,1924
2026-05-14 03:50:00,4699.65,4699.75,4695.49,4696.38,1893
2026-05-14 03:55:00,4696.31,4697.78,4695.13,4695.73,1691
2026-05-14 04:00:00,4695.74,4699.36,4695.63,4696.61,1568
2026-05-14 04:05:00,4696.6,4699.93,4696.14,4699.33,1587
2026-05-14 04:10:00,4699.35,4701.02,4698.4,4699.55,1329
2026-05-14 04:15:00,4699.67,4699.89,4696.83,4699.76,1664
2026-05-14 04:20:00,4699.82,4701.23,4697.12,4697.56,1530
2026-05-14 04:25:00,4697.55,4699.66,4696.6,4698.36,1973
2026-05-14 04:30:00,4698.52,4698.56,4690.21,4690.42,2177
2026-05-14 04:35:00,4690.4,4692.86,4690.07,4690.85,1748
2026-05-14 04:40:00,4690.86,4693.49,4690.7,4691.02,1219
2026-05-14 04:45:00,4691.25,4694.54,4690.26,4691.26,1445
2026-05-14 04:50:00,4691.22,4692.44,4688.44,4688.82,1674
2026-05-14 04:55:00,4688.77,4689.79,4684.46,4685.71,1754
2026-05-14 05:00:00,4685.56,4689.48,4684.36,4687.91,2301
2026-05-14 05:05:00,4687.93,4691.49,4687.75,4690.81,1274
2026-05-14 05:10:00,4690.82,4692.79,4690.42,4692.3,1149
2026-05-14 05:15:00,4692.32,4694.01,4690.17,4690.64,1474
2026-05-14 05:20:00,4690.62,4691.05,4688.7,4690.43,1426
2026-05-14 05:25:00,4690.41,4692.13,4690.15,4691.96,1128
2026-05-14 05:30:00,4691.95,4692.77,4690.15,4691.27,1043
2026-05-14 05:35:00,4691.25,4691.29,4687.29,4689.86,1333
2026-05-14 05:40:00,4689.87,4691.31,4685.76,4686.29,1260
2026-05-14 05:45:00,4686.3,4687.62,4677.4,4679.35,2621
2026-05-14 05:50:00,4679.37,4687.45,4679.37,4687,2094
2026-05-14 05:55:00,4686.88,4687.59,4684.44,4684.99,1702
2026-05-14 06:00:00,4685.02,4686.04,4683.61,4684.19,1455
2026-05-14 06:05:00,4684.21,4686.7,4683.29,4686.51,1107
2026-05-14 06:10:00,4686.49,4689.05,4685.57,4689.04,1141
2026-05-14 06:15:00,4689.03,4690.4,4686.95,4687.94,1352
2026-05-14 06:20:00,4688.06,4690.1,4687.39,4688,1306
2026-05-14 06:25:00,4687.89,4688.64,4686.53,4687.19,1398
2026-05-14 06:30:00,4687.15,4688.62,4684.49,4685.33,1261
2026-05-14 06:35:00,4685.32,4689.12,4684.56,4688.86,1085
2026-05-14 06:40:00,4688.88,4688.88,4686.99,4688.41,1069
2026-05-14 06:45:00,4688.33,4689.46,4687.37,4689.32,1105
2026-05-14 06:50:00,4689.08,4689.08,4683.39,4685.52,2727
2026-05-14 06:55:00,4685.61,4689.05,4685.49,4688.15,2019
2026-05-14 07:00:00,4688,4688.44,4685.93,4686.94,756
2026-05-14 07:05:00,4686.95,4689.26,4686.95,4689.14,687
2026-05-14 07:10:00,4689.15,4690.91,4689.15,4690.83,419
2026-05-14 07:15:00,4690.81,4690.97,4690.14,4690.86,479
2026-05-14 07:20:00,4690.87,4693.01,4690.6,4692.56,365
2026-05-14 07:25:00,4692.55,4693.23,4691.17,4691.29,470
2026-05-14 07:30:00,4691.3,4692.73,4689.14,4689.8,504
2026-05-14 07:35:00,4689.81,4691.44,4689.36,4691.42,547
2026-05-14 07:40:00,4691.38,4691.78,4689.83,4690.68,533
2026-05-14 07:45:00,4690.64,4691.13,4688.53,4688.93,556
2026-05-14 07:50:00,4688.88,4689.38,4687.86,4688.15,509
2026-05-14 07:55:00,4688.06,4689.32,4687.55,4687.55,603
2026-05-14 09:00:00,4692.49,4693.83,4689.53,4692.97,737
2026-05-14 09:05:00,4692.92,4693.72,4689.33,4689.57,798
2026-05-14 09:10:00,4689.9,4691.56,4688.6,4691.19,659
2026-05-14 09:15:00,4691.31,4695.98,4690.64,4694.56,1246
2026-05-14 09:20:00,4694.61,4695.93,4693.95,4695.35,535
2026-05-14 09:25:00,4695.31,4697.19,4695.28,4696.99,481
2026-05-14 09:30:00,4696.95,4698.91,4695.16,4697.12,518
2026-05-14 09:35:00,4697.11,4699.14,4696.14,4697.99,723
2026-05-14 09:40:00,4698,4700.22,4697.54,4698.63,546
2026-05-14 09:45:00,4698.92,4699.52,4696.64,4697.62,590
2026-05-14 09:50:00,4697.4,4700.48,4697.08,4699.99,460
2026-05-14 09:55:00,4699.71,4700.53,4699.21,4699.89,261
2026-05-14 10:00:00,4699.86,4701.09,4699.1,4699.18,449
2026-05-14 10:05:00,4699.2,4701.53,4699.08,4700.89,473
2026-05-14 10:10:00,4700.88,4702.07,4700.74,4701.06,436
2026-05-14 10:15:00,4701.01,4701.17,4700.15,4700.81,298
2026-05-14 10:20:00,4700.79,4701.03,4699.12,4699.53,368
2026-05-14 10:25:00,4699.56,4699.56,4696.62,4697.2,657
2026-05-14 10:30:00,4697.17,4697.38,4693.99,4695.33,623
2026-05-14 10:35:00,4695.34,4696.93,4694.84,4695.94,469
2026-05-14 10:40:00,4695.85,4697.56,4694.44,4694.79,723
2026-05-14 10:45:00,4694.8,4696.45,4693.14,4693.5,967
2026-05-14 10:50:00,4693.79,4695.79,4692.96,4695.44,432
2026-05-14 10:55:00,4695.74,4696.87,4694.23,4696.57,703
2026-05-14 11:00:00,4696.56,4699.39,4689.23,4691.74,1819
2026-05-14 11:05:00,4691.72,4696.3,4690.64,4696.09,1739
2026-05-14 11:10:00,4695.84,4697.81,4693.84,4697.62,1361
2026-05-14 11:15:00,4697.55,4705.31,4697.15,4700.95,1801
2026-05-14 11:20:00,4700.97,4702.87,4699.4,4701.29,1756
2026-05-14 11:25:00,4701.3,4702.26,4699.24,4700.79,1607
2026-05-14 11:30:00,4700.74,4703.08,4696.94,4697.2,1526
2026-05-14 11:35:00,4697.21,4697.37,4694.04,4695.25,1607
2026-05-14 11:40:00,4695.28,4700.82,4692.83,4699.86,1398
2026-05-14 11:45:00,4700.18,4704.57,4699.96,4703.57,1486
2026-05-14 11:50:00,4703.55,4703.64,4699.15,4700.33,1223
2026-05-14 11:55:00,4700.34,4706.56,4700.3,4704.65,1217
2026-05-14 12:00:00,4704.82,4706.9,4694.36,4698.31,4193
2026-05-14 12:05:00,4698.28,4698.78,4686.21,4688.11,3778
2026-05-14 12:10:00,4688.49,4692.36,4684.04,4688.62,3577
2026-05-14 12:15:00,4688.67,4694.53,4687.13,4688.65,3352
2026-05-14 12:20:00,4688.64,4692.71,4688.06,4692.03,2598
2026-05-14 12:25:00,4692.41,4695.3,4691.22,4692.67,2153
2026-05-14 12:30:00,4692.55,4694.79,4689.42,4692.78,2977
2026-05-14 12:35:00,4692.75,4694.46,4686.95,4689.13,2858
2026-05-14 12:40:00,4689.12,4690.17,4683.72,4688.71,2910
2026-05-14 12:45:00,4688.88,4694.95,4686.63,4694.32,2297
2026-05-14 12:50:00,4694.31,4694.44,4683.55,4685.77,2552
2026-05-14 12:55:00,4685.75,4689.26,4684.12,4688.8,3335
2026-05-14 13:00:00,4688.88,4693.91,4686.87,4693.63,2870
2026-05-14 13:05:00,4693.65,4693.79,4688.8,4690.8,2082
2026-05-14 13:10:00,4690.81,4690.93,4686.48,4688.37,2216
2026-05-14 13:15:00,4688.02,4690.98,4686.97,4689.88,1408
2026-05-14 13:20:00,4689.89,4691.55,4689.58,4690.82,1159
2026-05-14 13:25:00,4690.81,4694.1,4689.88,4693.63,1269
2026-05-14 13:30:00,4693.64,4697.89,4690.6,4697.39,2128
2026-05-14 13:35:00,4697.37,4699.71,4695.13,4695.29,1556
2026-05-14 13:40:00,4695.32,4696.25,4689.47,4691.6,1963
2026-05-14 13:45:00,4691.58,4693.47,4680.56,4682.66,2398
2026-05-14 13:50:00,4682.64,4687.99,4679.65,4686.99,2527
2026-05-14 13:55:00,4686.96,4688.23,4684.91,4686.41,2165
2026-05-14 14:00:00,4686.25,4690.22,4685.1,4687.43,2159
2026-05-14 14:05:00,4687.52,4687.76,4681.92,4684.52,2082
2026-05-14 14:10:00,4684.53,4685.82,4681.07,4682.99,1972
2026-05-14 14:15:00,4682.68,4686.47,4682.61,4683.02,1600
2026-05-14 14:20:00,4682.99,4688.47,4681.2,4688.26,2112
2026-05-14 14:25:00,4688.25,4693.22,4688.08,4691.15,1608
2026-05-14 14:30:00,4691.14,4691.65,4683.16,4685.04,1615
2026-05-14 14:35:00,4685.03,4686.54,4678.82,4680.59,1356
2026-05-14 14:40:00,4680.57,4681.29,4675.39,4676.2,1661
2026-05-14 14:45:00,4676.21,4677.99,4674.13,4676.42,1552
2026-05-14 14:50:00,4676.68,4677.54,4674.22,4675.56,1107
2026-05-14 14:55:00,4675.55,4677.06,4673.93,4675.05,1031
2026-05-14 15:00:00,4675.12,4675.36,4668.01,4672.64,1583
2026-05-14 15:05:00,4672.63,4680.05,4672.14,4678.57,1611
2026-05-14 15:10:00,4678.56,4682.62,4676.94,4681.98,1334
2026-05-14 15:15:00,4682.04,4683.59,4681.43,4683.28,1114
2026-05-14 15:20:00,4683.3,4692.26,4683.3,4691.3,1029
2026-05-14 15:25:00,4691.29,4707.45,4691.22,4702.06,2329
2026-05-14 15:30:00,4702.03,4710.59,4700.96,4709.2,1638
2026-05-14 15:35:00,4709.21,4712.53,4706.35,4707.38,1445
2026-05-14 15:40:00,4707.39,4707.9,4702.94,4704.89,902
2026-05-14 15:45:00,4704.9,4706.35,4702.71,4704.78,851
2026-05-14 15:50:00,4704.8,4705.91,4703.11,4705.31,798
2026-05-14 15:55:00,4705.35,4706.29,4702.22,4702.28,1121
2026-05-14 16:00:00,4702.29,4702.94,4699.64,4700.59,1351
2026-05-14 16:05:00,4700.68,4704.11,4700.22,4701.22,1121
2026-05-14 16:10:00,4701.24,4703.7,4699.72,4699.92,952
2026-05-14 16:15:00,4699.91,4700.4,4697.12,4697.64,1053
2026-05-14 16:20:00,4697.63,4698.66,4696.83,4697.29,944
2026-05-14 16:25:00,4697.31,4697.31,4693.07,4693.59,1212
2026-05-14 16:30:00,4693.6,4701.55,4693.08,4698.85,2937
2026-05-14 16:35:00,4698.53,4700.75,4696.51,4700.01,1997
2026-05-14 16:40:00,4700.02,4700.85,4696.34,4696.96,1674
2026-05-14 16:45:00,4697.23,4703.28,4697.08,4700.03,2148
2026-05-14 16:50:00,4700.45,4701.53,4697.81,4698.3,1670
2026-05-14 16:55:00,4698.29,4698.61,4689.07,4689.95,2151
2026-05-14 17:00:00,4689.91,4693.38,4687.23,4693.09,2448
2026-05-14 17:05:00,4693.1,4694.78,4687.43,4690.58,2294
2026-05-14 17:10:00,4690.69,4691.72,4686.07,4687.84,1824
2026-05-14 17:15:00,4687.85,4689.34,4686.35,4688.56,1858
2026-05-14 17:20:00,4688.53,4690.92,4688.06,4690.59,1809
2026-05-14 17:25:00,4690.58,4693.18,4690.02,4691.28,1666
2026-05-14 17:30:00,4691.39,4694.93,4690.75,4694.01,1297
2026-05-14 17:35:00,4694.16,4695.61,4691.26,4694.42,1440
2026-05-14 17:40:00,4694.4,4699.62,4691.51,4698.8,1567
2026-05-14 17:45:00,4698.7,4702.48,4694.82,4695.3,2465
2026-05-14 17:50:00,4695.29,4701.45,4695.18,4699.72,1831
2026-05-14 17:55:00,4699.64,4701.38,4698.25,4700.03,1874
2026-05-14 18:00:00,4699.85,4702.29,4697.18,4698.54,2071
2026-05-14 18:05:00,4698.71,4700.67,4696.06,4699.07,1752
2026-05-14 18:10:00,4699.06,4700.29,4694.41,4695.2,1954
2026-05-14 18:15:00,4695.26,4699.63,4694.8,4697.59,1872
2026-05-14 18:20:00,4697.6,4700.36,4695.14,4699.66,1739
2026-05-14 18:25:00,4699.67,4706.91,4699.17,4705.36,1675
2026-05-14 18:30:00,4705.35,4710.37,4702.81,4710.01,1995
2026-05-14 18:35:00,4710.02,4718.65,4709.99,4711.98,2185
2026-05-14 18:40:00,4712.01,4714.55,4708.99,4709.08,1708
2026-05-14 18:45:00,4709.11,4709.53,4703.16,4704.35,1457
2026-05-14 18:50:00,4704.29,4704.29,4695.01,4700.05,1917
2026-05-14 18:55:00,4700.02,4701.03,4690.73,4693.23,2410
2026-05-14 19:00:00,4693.24,4701.04,4691.83,4697.63,2314
2026-05-14 19:05:00,4697.67,4699.95,4696.2,4697.33,1381
2026-05-14 19:10:00,4697.47,4700.59,4695.55,4699.03,1695
2026-05-14 19:15:00,4698.95,4701.67,4698.92,4699.6,1639
2026-05-14 19:20:00,4699.65,4701.69,4697.73,4701.13,2110
2026-05-14 19:25:00,4701.17,4704.94,4700.78,4702.84,2004
2026-05-14 19:30:00,4702.77,4705.66,4701.63,4702.52,1722
2026-05-14 19:35:00,4702.35,4706.61,4701.68,4701.83,2017
2026-05-14 19:40:00,4701.82,4702.75,4695.47,4696.86,2199
2026-05-14 19:45:00,4696.94,4697.54,4694.29,4695.16,1942
2026-05-14 19:50:00,4695.14,4696.59,4693.42,4694.61,1303
2026-05-14 19:55:00,4694.59,4696.86,4692.78,4693.32,1295
